CD_MEDICAMENT;NOM_MEDICAMENT;CONDIT_MEDICAMENT;CATG_MEDICAMENT;MARQUE_FABRI
34;Medicament34;Cond1;CategoryMed42;MarqueMed2
35;Medicament35;Cond4;CategoryMed9;MarqueMed5
36;Medicament36;Cond2;CategoryMed7;MarqueMed17
37;Medicament37;Cond6;CategoryMed5;MarqueMed4
38;Medicament38;Cond4;CategoryMed24;MarqueMed23
39;Medicament39;Cond11;CategoryMed40;MarqueMed19
40;Medicament40;Cond10;CategoryMed29;MarqueMed22
41;Medicament41;Cond4;CategoryMed30;MarqueMed23
42;Medicament42;Cond3;CategoryMed38;MarqueMed9
43;Medicament43;Cond8;CategoryMed5;MarqueMed6
44;Medicament44;Cond13;CategoryMed40;MarqueMed13
45;Medicament45;Cond6;CategoryMed46;MarqueMed18
46;Medicament46;Cond8;CategoryMed18;MarqueMed23
47;Medicament47;Cond8;CategoryMed6;MarqueMed14
48;Medicament48;Cond8;CategoryMed26;MarqueMed12
49;Medicament49;Cond7;CategoryMed6;MarqueMed10
50;Medicament50;Cond3;CategoryMed42;MarqueMed11
51;Medicament51;Cond11;CategoryMed39;MarqueMed21
52;Medicament52;Cond13;CategoryMed28;MarqueMed22
53;Medicament53;Cond13;CategoryMed21;MarqueMed20
54;Medicament54;Cond12;CategoryMed27;MarqueMed16
55;Medicament55;Cond8;CategoryMed44;MarqueMed4
56;Medicament56;Cond1;CategoryMed30;MarqueMed14
57;Medicament57;Cond7;CategoryMed16;MarqueMed14
58;Medicament58;Cond5;CategoryMed25;MarqueMed2
59;Medicament59;Cond10;CategoryMed35;MarqueMed11
60;Medicament60;Cond1;CategoryMed50;MarqueMed6
61;Medicament61;Cond3;CategoryMed1;MarqueMed14
62;Medicament62;Cond8;CategoryMed1;MarqueMed17
63;Medicament63;Cond8;CategoryMed40;MarqueMed5
64;Medicament64;Cond12;CategoryMed41;MarqueMed12
65;Medicament65;Cond9;CategoryMed28;MarqueMed15
66;Medicament66;Cond3;CategoryMed39;MarqueMed13
67;Medicament67;Cond8;CategoryMed23;MarqueMed23
68;Medicament68;Cond5;CategoryMed30;MarqueMed13
69;Medicament69;Cond8;CategoryMed31;MarqueMed16
70;Medicament70;Cond13;CategoryMed41;MarqueMed14
71;Medicament71;Cond2;CategoryMed20;MarqueMed19
72;Medicament72;Cond2;CategoryMed13;MarqueMed8
73;Medicament73;Cond6;CategoryMed21;MarqueMed16
74;Medicament74;Cond13;CategoryMed21;MarqueMed22
75;Medicament75;Cond8;CategoryMed2;MarqueMed22
76;Medicament76;Cond11;CategoryMed19;MarqueMed17
77;Medicament77;Cond3;CategoryMed2;MarqueMed14
78;Medicament78;Cond12;CategoryMed23;MarqueMed13
79;Medicament79;Cond11;CategoryMed43;MarqueMed15
80;Medicament80;Cond11;CategoryMed14;MarqueMed10
81;Medicament81;Cond11;CategoryMed4;MarqueMed9
82;Medicament82;Cond11;CategoryMed50;MarqueMed13
83;Medicament83;Cond11;CategoryMed9;MarqueMed19
84;Medicament84;Cond7;CategoryMed44;MarqueMed2
85;Medicament85;Cond3;CategoryMed41;MarqueMed11
86;Medicament86;Cond12;CategoryMed28;MarqueMed5
87;Medicament87;Cond13;CategoryMed26;MarqueMed20
88;Medicament88;Cond7;CategoryMed50;MarqueMed13
89;Medicament89;Cond1;CategoryMed41;MarqueMed3
90;Medicament90;Cond5;CategoryMed32;MarqueMed10
91;Medicament91;Cond12;CategoryMed47;MarqueMed8
92;Medicament92;Cond6;CategoryMed5;MarqueMed16
93;Medicament93;Cond6;CategoryMed33;MarqueMed1
94;Medicament94;Cond12;CategoryMed19;MarqueMed23
95;Medicament95;Cond12;CategoryMed40;MarqueMed15
96;Medicament96;Cond10;CategoryMed44;MarqueMed6
97;Medicament97;Cond6;CategoryMed19;MarqueMed9
98;Medicament98;Cond4;CategoryMed7;MarqueMed17
99;Medicament99;Cond4;CategoryMed42;MarqueMed19
100;Medicament100;Cond12;CategoryMed47;MarqueMed12
101;Medicament101;Cond13;CategoryMed50;MarqueMed18
102;Medicament102;Cond12;CategoryMed26;MarqueMed19
103;Medicament103;Cond13;CategoryMed26;MarqueMed20
104;Medicament104;Cond3;CategoryMed44;MarqueMed3
105;Medicament105;Cond7;CategoryMed7;MarqueMed9
106;Medicament106;Cond8;CategoryMed5;MarqueMed12
107;Medicament107;Cond6;CategoryMed23;MarqueMed6
108;Medicament108;Cond2;CategoryMed39;MarqueMed2
109;Medicament109;Cond4;CategoryMed47;MarqueMed9
110;Medicament110;Cond10;CategoryMed39;MarqueMed18
111;Medicament111;Cond1;CategoryMed28;MarqueMed6
112;Medicament112;Cond2;CategoryMed38;MarqueMed20
113;Medicament113;Cond4;CategoryMed30;MarqueMed12
114;Medicament114;Cond7;CategoryMed45;MarqueMed13
115;Medicament115;Cond9;CategoryMed33;MarqueMed12
116;Medicament116;Cond4;CategoryMed32;MarqueMed8
117;Medicament117;Cond12;CategoryMed40;MarqueMed23
118;Medicament118;Cond6;CategoryMed1;MarqueMed13
119;Medicament119;Cond10;CategoryMed34;MarqueMed5
120;Medicament120;Cond6;CategoryMed3;MarqueMed17
121;Medicament121;Cond12;CategoryMed2;MarqueMed20
122;Medicament122;Cond12;CategoryMed34;MarqueMed20
123;Medicament123;Cond1;CategoryMed29;MarqueMed9
124;Medicament124;Cond11;CategoryMed43;MarqueMed14
125;Medicament125;Cond2;CategoryMed19;MarqueMed7
126;Medicament126;Cond13;CategoryMed26;MarqueMed14
127;Medicament127;Cond2;CategoryMed12;MarqueMed11
128;Medicament128;Cond9;CategoryMed16;MarqueMed18
129;Medicament129;Cond11;CategoryMed27;MarqueMed12
130;Medicament130;Cond4;CategoryMed17;MarqueMed17
131;Medicament131;Cond8;CategoryMed31;MarqueMed17
132;Medicament132;Cond9;CategoryMed44;MarqueMed13
133;Medicament133;Cond8;CategoryMed11;MarqueMed18
134;Medicament134;Cond2;CategoryMed32;MarqueMed10
135;Medicament135;Cond9;CategoryMed28;MarqueMed16
136;Medicament136;Cond7;CategoryMed14;MarqueMed7
137;Medicament137;Cond6;CategoryMed20;MarqueMed20
138;Medicament138;Cond3;CategoryMed17;MarqueMed17
139;Medicament139;Cond3;CategoryMed42;MarqueMed5
140;Medicament140;Cond1;CategoryMed19;MarqueMed10
141;Medicament141;Cond4;CategoryMed2;MarqueMed21
142;Medicament142;Cond3;CategoryMed30;MarqueMed9
143;Medicament143;Cond3;CategoryMed41;MarqueMed5
144;Medicament144;Cond6;CategoryMed25;MarqueMed16
145;Medicament145;Cond9;CategoryMed23;MarqueMed18
146;Medicament146;Cond5;CategoryMed31;MarqueMed8
147;Medicament147;Cond13;CategoryMed48;MarqueMed17
148;Medicament148;Cond4;CategoryMed23;MarqueMed18
149;Medicament149;Cond12;CategoryMed21;MarqueMed18
150;Medicament150;Cond13;CategoryMed36;MarqueMed8
151;Medicament151;Cond3;CategoryMed17;MarqueMed21
152;Medicament152;Cond6;CategoryMed4;MarqueMed22
153;Medicament153;Cond9;CategoryMed32;MarqueMed17
154;Medicament154;Cond13;CategoryMed29;MarqueMed16
155;Medicament155;Cond1;CategoryMed33;MarqueMed22
156;Medicament156;Cond11;CategoryMed50;MarqueMed23
157;Medicament157;Cond11;CategoryMed9;MarqueMed10
158;Medicament158;Cond8;CategoryMed5;MarqueMed18
159;Medicament159;Cond10;CategoryMed20;MarqueMed3
160;Medicament160;Cond1;CategoryMed43;MarqueMed22
161;Medicament161;Cond4;CategoryMed12;MarqueMed5
162;Medicament162;Cond4;CategoryMed34;MarqueMed15
163;Medicament163;Cond5;CategoryMed39;MarqueMed4
164;Medicament164;Cond6;CategoryMed22;MarqueMed6
165;Medicament165;Cond8;CategoryMed8;MarqueMed19
166;Medicament166;Cond1;CategoryMed23;MarqueMed6
167;Medicament167;Cond6;CategoryMed42;MarqueMed15
168;Medicament168;Cond6;CategoryMed13;MarqueMed18
169;Medicament169;Cond6;CategoryMed37;MarqueMed14
170;Medicament170;Cond9;CategoryMed8;MarqueMed10
171;Medicament171;Cond7;CategoryMed6;MarqueMed21
172;Medicament172;Cond4;CategoryMed8;MarqueMed17
173;Medicament173;Cond6;CategoryMed29;MarqueMed4
174;Medicament174;Cond3;CategoryMed3;MarqueMed23
175;Medicament175;Cond13;CategoryMed30;MarqueMed15
176;Medicament176;Cond5;CategoryMed44;MarqueMed2
177;Medicament177;Cond13;CategoryMed26;MarqueMed17
178;Medicament178;Cond6;CategoryMed48;MarqueMed19
179;Medicament179;Cond4;CategoryMed15;MarqueMed16
180;Medicament180;Cond11;CategoryMed24;MarqueMed19
181;Medicament181;Cond1;CategoryMed33;MarqueMed8
182;Medicament182;Cond3;CategoryMed35;MarqueMed9
183;Medicament183;Cond4;CategoryMed16;MarqueMed18
184;Medicament184;Cond2;CategoryMed6;MarqueMed11
185;Medicament185;Cond1;CategoryMed4;MarqueMed8
186;Medicament186;Cond10;CategoryMed19;MarqueMed9
187;Medicament187;Cond9;CategoryMed21;MarqueMed12
188;Medicament188;Cond2;CategoryMed6;MarqueMed20
189;Medicament189;Cond13;CategoryMed2;MarqueMed4
190;Medicament190;Cond13;CategoryMed46;MarqueMed9
191;Medicament191;Cond7;CategoryMed11;MarqueMed22
192;Medicament192;Cond4;CategoryMed11;MarqueMed15
193;Medicament193;Cond6;CategoryMed16;MarqueMed6
194;Medicament194;Cond1;CategoryMed38;MarqueMed9
195;Medicament195;Cond7;CategoryMed36;MarqueMed22
196;Medicament196;Cond2;CategoryMed21;MarqueMed9
197;Medicament197;Cond9;CategoryMed43;MarqueMed15
198;Medicament198;Cond2;CategoryMed23;MarqueMed2
199;Medicament199;Cond12;CategoryMed20;MarqueMed10
200;Medicament200;Cond10;CategoryMed42;MarqueMed6
201;Medicament201;Cond12;CategoryMed34;MarqueMed23
202;Medicament202;Cond13;CategoryMed3;MarqueMed19
203;Medicament203;Cond11;CategoryMed26;MarqueMed11
204;Medicament204;Cond12;CategoryMed19;MarqueMed17
205;Medicament205;Cond4;CategoryMed27;MarqueMed10
206;Medicament206;Cond7;CategoryMed1;MarqueMed13
207;Medicament207;Cond4;CategoryMed8;MarqueMed9
208;Medicament208;Cond11;CategoryMed4;MarqueMed12
209;Medicament209;Cond1;CategoryMed32;MarqueMed9
210;Medicament210;Cond8;CategoryMed12;MarqueMed17
211;Medicament211;Cond5;CategoryMed35;MarqueMed23
212;Medicament212;Cond10;CategoryMed16;MarqueMed9
213;Medicament213;Cond2;CategoryMed33;MarqueMed17
214;Medicament214;Cond3;CategoryMed50;MarqueMed13
215;Medicament215;Cond13;CategoryMed16;MarqueMed12
216;Medicament216;Cond6;CategoryMed32;MarqueMed7
217;Medicament217;Cond12;CategoryMed43;MarqueMed23
218;Medicament218;Cond7;CategoryMed26;MarqueMed6
219;Medicament219;Cond6;CategoryMed39;MarqueMed1
220;Medicament220;Cond1;CategoryMed13;MarqueMed10
221;Medicament221;Cond6;CategoryMed2;MarqueMed18
222;Medicament222;Cond6;CategoryMed17;MarqueMed22
223;Medicament223;Cond9;CategoryMed16;MarqueMed20
224;Medicament224;Cond12;CategoryMed34;MarqueMed3
225;Medicament225;Cond6;CategoryMed26;MarqueMed8
226;Medicament226;Cond8;CategoryMed9;MarqueMed10
227;Medicament227;Cond8;CategoryMed18;MarqueMed12
228;Medicament228;Cond3;CategoryMed32;MarqueMed6
229;Medicament229;Cond2;CategoryMed40;MarqueMed8
230;Medicament230;Cond8;CategoryMed30;MarqueMed5
231;Medicament231;Cond1;CategoryMed18;MarqueMed23
232;Medicament232;Cond13;CategoryMed45;MarqueMed6
233;Medicament233;Cond3;CategoryMed7;MarqueMed22
234;Medicament234;Cond2;CategoryMed49;MarqueMed9
235;Medicament235;Cond1;CategoryMed3;MarqueMed3
236;Medicament236;Cond6;CategoryMed18;MarqueMed18
237;Medicament237;Cond3;CategoryMed36;MarqueMed13
238;Medicament238;Cond8;CategoryMed8;MarqueMed1
239;Medicament239;Cond3;CategoryMed26;MarqueMed15
240;Medicament240;Cond9;CategoryMed29;MarqueMed16
241;Medicament241;Cond4;CategoryMed13;MarqueMed19
242;Medicament242;Cond6;CategoryMed48;MarqueMed11
243;Medicament243;Cond8;CategoryMed9;MarqueMed17
244;Medicament244;Cond1;CategoryMed26;MarqueMed7
245;Medicament245;Cond3;CategoryMed17;MarqueMed17
246;Medicament246;Cond8;CategoryMed45;MarqueMed19
247;Medicament247;Cond5;CategoryMed37;MarqueMed21
248;Medicament248;Cond6;CategoryMed12;MarqueMed5
249;Medicament249;Cond12;CategoryMed22;MarqueMed14
250;Medicament250;Cond9;CategoryMed42;MarqueMed21
251;Medicament251;Cond5;CategoryMed37;MarqueMed10
252;Medicament252;Cond1;CategoryMed25;MarqueMed19
253;Medicament253;Cond4;CategoryMed13;MarqueMed17
254;Medicament254;Cond13;CategoryMed1;MarqueMed17
255;Medicament255;Cond6;CategoryMed43;MarqueMed12
256;Medicament256;Cond7;CategoryMed49;MarqueMed11
257;Medicament257;Cond8;CategoryMed23;MarqueMed9
258;Medicament258;Cond2;CategoryMed26;MarqueMed7
259;Medicament259;Cond11;CategoryMed14;MarqueMed19
260;Medicament260;Cond3;CategoryMed18;MarqueMed7
261;Medicament261;Cond6;CategoryMed24;MarqueMed1
262;Medicament262;Cond6;CategoryMed25;MarqueMed7
263;Medicament263;Cond9;CategoryMed8;MarqueMed3
264;Medicament264;Cond7;CategoryMed17;MarqueMed19
265;Medicament265;Cond2;CategoryMed1;MarqueMed3
266;Medicament266;Cond9;CategoryMed36;MarqueMed22
267;Medicament267;Cond9;CategoryMed45;MarqueMed7
268;Medicament268;Cond9;CategoryMed11;MarqueMed20
269;Medicament269;Cond11;CategoryMed19;MarqueMed3
270;Medicament270;Cond11;CategoryMed6;MarqueMed18
271;Medicament271;Cond11;CategoryMed25;MarqueMed5
272;Medicament272;Cond4;CategoryMed46;MarqueMed23
273;Medicament273;Cond12;CategoryMed31;MarqueMed22
274;Medicament274;Cond3;CategoryMed16;MarqueMed11
275;Medicament275;Cond6;CategoryMed48;MarqueMed23
276;Medicament276;Cond6;CategoryMed40;MarqueMed6
277;Medicament277;Cond6;CategoryMed8;MarqueMed13
278;Medicament278;Cond2;CategoryMed47;MarqueMed13
279;Medicament279;Cond8;CategoryMed17;MarqueMed5
280;Medicament280;Cond2;CategoryMed6;MarqueMed22
281;Medicament281;Cond5;CategoryMed45;MarqueMed21
282;Medicament282;Cond7;CategoryMed26;MarqueMed20
283;Medicament283;Cond3;CategoryMed41;MarqueMed11
284;Medicament284;Cond2;CategoryMed49;MarqueMed3
285;Medicament285;Cond3;CategoryMed11;MarqueMed4
286;Medicament286;Cond3;CategoryMed9;MarqueMed20
287;Medicament287;Cond7;CategoryMed21;MarqueMed13
288;Medicament288;Cond11;CategoryMed15;MarqueMed15
289;Medicament289;Cond7;CategoryMed40;MarqueMed5
290;Medicament290;Cond13;CategoryMed23;MarqueMed20
291;Medicament291;Cond8;CategoryMed18;MarqueMed6
292;Medicament292;Cond12;CategoryMed50;MarqueMed4
293;Medicament293;Cond6;CategoryMed31;MarqueMed5
294;Medicament294;Cond7;CategoryMed49;MarqueMed22
295;Medicament295;Cond7;CategoryMed18;MarqueMed13
296;Medicament296;Cond2;CategoryMed13;MarqueMed13
297;Medicament297;Cond3;CategoryMed48;MarqueMed7
298;Medicament298;Cond1;CategoryMed5;MarqueMed10
299;Medicament299;Cond7;CategoryMed7;MarqueMed20
300;Medicament300;Cond11;CategoryMed8;MarqueMed13
301;Medicament301;Cond1;CategoryMed36;MarqueMed19
302;Medicament302;Cond2;CategoryMed35;MarqueMed15
303;Medicament303;Cond10;CategoryMed8;MarqueMed9
304;Medicament304;Cond5;CategoryMed33;MarqueMed5
305;Medicament305;Cond9;CategoryMed14;MarqueMed19
306;Medicament306;Cond8;CategoryMed14;MarqueMed22
307;Medicament307;Cond8;CategoryMed46;MarqueMed14
308;Medicament308;Cond9;CategoryMed31;MarqueMed20
309;Medicament309;Cond4;CategoryMed26;MarqueMed16
310;Medicament310;Cond1;CategoryMed45;MarqueMed22
311;Medicament311;Cond9;CategoryMed4;MarqueMed8
312;Medicament312;Cond11;CategoryMed19;MarqueMed8
313;Medicament313;Cond10;CategoryMed16;MarqueMed20
314;Medicament314;Cond1;CategoryMed10;MarqueMed14
315;Medicament315;Cond1;CategoryMed10;MarqueMed20
316;Medicament316;Cond6;CategoryMed14;MarqueMed2
317;Medicament317;Cond12;CategoryMed27;MarqueMed14
318;Medicament318;Cond5;CategoryMed3;MarqueMed16
319;Medicament319;Cond11;CategoryMed34;MarqueMed3
320;Medicament320;Cond3;CategoryMed19;MarqueMed22
321;Medicament321;Cond7;CategoryMed14;MarqueMed12
322;Medicament322;Cond13;CategoryMed41;MarqueMed1
323;Medicament323;Cond12;CategoryMed49;MarqueMed6
324;Medicament324;Cond1;CategoryMed5;MarqueMed10
325;Medicament325;Cond10;CategoryMed15;MarqueMed18
326;Medicament326;Cond10;CategoryMed42;MarqueMed4
327;Medicament327;Cond9;CategoryMed7;MarqueMed6
328;Medicament328;Cond10;CategoryMed45;MarqueMed22
329;Medicament329;Cond3;CategoryMed26;MarqueMed5
330;Medicament330;Cond1;CategoryMed25;MarqueMed6
331;Medicament331;Cond2;CategoryMed31;MarqueMed4
332;Medicament332;Cond3;CategoryMed45;MarqueMed14
333;Medicament333;Cond10;CategoryMed39;MarqueMed17
334;Medicament334;Cond8;CategoryMed7;MarqueMed10
335;Medicament335;Cond4;CategoryMed33;MarqueMed13
336;Medicament336;Cond11;CategoryMed23;MarqueMed4
337;Medicament337;Cond2;CategoryMed15;MarqueMed1
338;Medicament338;Cond13;CategoryMed31;MarqueMed21
339;Medicament339;Cond13;CategoryMed3;MarqueMed12
340;Medicament340;Cond4;CategoryMed47;MarqueMed23
341;Medicament341;Cond7;CategoryMed36;MarqueMed3
342;Medicament342;Cond3;CategoryMed2;MarqueMed4
343;Medicament343;Cond10;CategoryMed31;MarqueMed10
344;Medicament344;Cond2;CategoryMed12;MarqueMed11
345;Medicament345;Cond11;CategoryMed6;MarqueMed21
346;Medicament346;Cond2;CategoryMed21;MarqueMed5
347;Medicament347;Cond3;CategoryMed7;MarqueMed19
348;Medicament348;Cond12;CategoryMed10;MarqueMed3
349;Medicament349;Cond4;CategoryMed49;MarqueMed4
350;Medicament350;Cond12;CategoryMed40;MarqueMed5
351;Medicament351;Cond6;CategoryMed7;MarqueMed1
352;Medicament352;Cond1;CategoryMed18;MarqueMed18
353;Medicament353;Cond11;CategoryMed39;MarqueMed10
354;Medicament354;Cond11;CategoryMed2;MarqueMed18
355;Medicament355;Cond8;CategoryMed35;MarqueMed4
356;Medicament356;Cond4;CategoryMed18;MarqueMed21
357;Medicament357;Cond6;CategoryMed29;MarqueMed23
358;Medicament358;Cond11;CategoryMed2;MarqueMed12
359;Medicament359;Cond3;CategoryMed13;MarqueMed10
360;Medicament360;Cond7;CategoryMed14;MarqueMed1
361;Medicament361;Cond12;CategoryMed31;MarqueMed10
362;Medicament362;Cond7;CategoryMed48;MarqueMed1
363;Medicament363;Cond3;CategoryMed49;MarqueMed13
364;Medicament364;Cond7;CategoryMed43;MarqueMed21
365;Medicament365;Cond6;CategoryMed28;MarqueMed16
366;Medicament366;Cond9;CategoryMed12;MarqueMed6
367;Medicament367;Cond13;CategoryMed43;MarqueMed17
368;Medicament368;Cond5;CategoryMed5;MarqueMed6
369;Medicament369;Cond5;CategoryMed8;MarqueMed9
370;Medicament370;Cond13;CategoryMed36;MarqueMed6
371;Medicament371;Cond11;CategoryMed24;MarqueMed13
372;Medicament372;Cond10;CategoryMed24;MarqueMed18
373;Medicament373;Cond12;CategoryMed38;MarqueMed6
374;Medicament374;Cond9;CategoryMed21;MarqueMed22
375;Medicament375;Cond3;CategoryMed32;MarqueMed9
376;Medicament376;Cond1;CategoryMed3;MarqueMed23
377;Medicament377;Cond6;CategoryMed47;MarqueMed12
378;Medicament378;Cond9;CategoryMed1;MarqueMed4
379;Medicament379;Cond7;CategoryMed47;MarqueMed21
380;Medicament380;Cond9;CategoryMed26;MarqueMed5
381;Medicament381;Cond1;CategoryMed2;MarqueMed14
382;Medicament382;Cond6;CategoryMed30;MarqueMed9
383;Medicament383;Cond4;CategoryMed48;MarqueMed19
384;Medicament384;Cond12;CategoryMed31;MarqueMed21
385;Medicament385;Cond12;CategoryMed35;MarqueMed21
386;Medicament386;Cond11;CategoryMed16;MarqueMed10
387;Medicament387;Cond3;CategoryMed12;MarqueMed11
388;Medicament388;Cond13;CategoryMed16;MarqueMed8
389;Medicament389;Cond5;CategoryMed22;MarqueMed11
390;Medicament390;Cond8;CategoryMed15;MarqueMed7
391;Medicament391;Cond13;CategoryMed45;MarqueMed15
392;Medicament392;Cond10;CategoryMed26;MarqueMed23
393;Medicament393;Cond3;CategoryMed41;MarqueMed23
394;Medicament394;Cond6;CategoryMed1;MarqueMed2
395;Medicament395;Cond10;CategoryMed14;MarqueMed5
396;Medicament396;Cond7;CategoryMed2;MarqueMed9
397;Medicament397;Cond8;CategoryMed14;MarqueMed19
398;Medicament398;Cond2;CategoryMed50;MarqueMed10
399;Medicament399;Cond1;CategoryMed31;MarqueMed2
400;Medicament400;Cond2;CategoryMed22;MarqueMed6
401;Medicament401;Cond2;CategoryMed8;MarqueMed5
402;Medicament402;Cond4;CategoryMed31;MarqueMed6
403;Medicament403;Cond7;CategoryMed42;MarqueMed6
404;Medicament404;Cond2;CategoryMed37;MarqueMed6
405;Medicament405;Cond7;CategoryMed15;MarqueMed8
406;Medicament406;Cond3;CategoryMed34;MarqueMed15
407;Medicament407;Cond10;CategoryMed5;MarqueMed16
408;Medicament408;Cond1;CategoryMed28;MarqueMed4
409;Medicament409;Cond12;CategoryMed44;MarqueMed10
410;Medicament410;Cond2;CategoryMed8;MarqueMed9
411;Medicament411;Cond5;CategoryMed13;MarqueMed8
412;Medicament412;Cond11;CategoryMed35;MarqueMed14
413;Medicament413;Cond8;CategoryMed3;MarqueMed7
414;Medicament414;Cond8;CategoryMed9;MarqueMed19
415;Medicament415;Cond7;CategoryMed3;MarqueMed2
416;Medicament416;Cond10;CategoryMed44;MarqueMed5
417;Medicament417;Cond1;CategoryMed6;MarqueMed21
418;Medicament418;Cond9;CategoryMed30;MarqueMed18
419;Medicament419;Cond4;CategoryMed44;MarqueMed5
420;Medicament420;Cond2;CategoryMed32;MarqueMed12
421;Medicament421;Cond7;CategoryMed30;MarqueMed11
422;Medicament422;Cond5;CategoryMed2;MarqueMed6
423;Medicament423;Cond6;CategoryMed27;MarqueMed4
424;Medicament424;Cond4;CategoryMed39;MarqueMed9
425;Medicament425;Cond3;CategoryMed47;MarqueMed12
426;Medicament426;Cond12;CategoryMed19;MarqueMed7
427;Medicament427;Cond13;CategoryMed42;MarqueMed2
428;Medicament428;Cond8;CategoryMed3;MarqueMed11
429;Medicament429;Cond1;CategoryMed11;MarqueMed5
430;Medicament430;Cond4;CategoryMed38;MarqueMed4
431;Medicament431;Cond10;CategoryMed39;MarqueMed3
432;Medicament432;Cond2;CategoryMed38;MarqueMed2
433;Medicament433;Cond10;CategoryMed45;MarqueMed4
434;Medicament434;Cond3;CategoryMed34;MarqueMed17
435;Medicament435;Cond13;CategoryMed26;MarqueMed6
436;Medicament436;Cond12;CategoryMed27;MarqueMed12
437;Medicament437;Cond8;CategoryMed23;MarqueMed11
438;Medicament438;Cond10;CategoryMed48;MarqueMed8
439;Medicament439;Cond6;CategoryMed40;MarqueMed5
440;Medicament440;Cond12;CategoryMed25;MarqueMed14
441;Medicament441;Cond13;CategoryMed48;MarqueMed5
442;Medicament442;Cond10;CategoryMed41;MarqueMed19
443;Medicament443;Cond13;CategoryMed42;MarqueMed13
444;Medicament444;Cond8;CategoryMed37;MarqueMed3
445;Medicament445;Cond3;CategoryMed49;MarqueMed19
446;Medicament446;Cond5;CategoryMed24;MarqueMed19
447;Medicament447;Cond9;CategoryMed18;MarqueMed23
448;Medicament448;Cond11;CategoryMed42;MarqueMed3
449;Medicament449;Cond2;CategoryMed34;MarqueMed6
450;Medicament450;Cond9;CategoryMed48;MarqueMed8
451;Medicament451;Cond5;CategoryMed2;MarqueMed16
452;Medicament452;Cond10;CategoryMed14;MarqueMed15
453;Medicament453;Cond8;CategoryMed10;MarqueMed2
454;Medicament454;Cond13;CategoryMed19;MarqueMed12
455;Medicament455;Cond5;CategoryMed2;MarqueMed9
456;Medicament456;Cond3;CategoryMed22;MarqueMed13
457;Medicament457;Cond5;CategoryMed11;MarqueMed8
458;Medicament458;Cond5;CategoryMed22;MarqueMed9
459;Medicament459;Cond4;CategoryMed19;MarqueMed21
460;Medicament460;Cond2;CategoryMed26;MarqueMed16
461;Medicament461;Cond12;CategoryMed23;MarqueMed8
462;Medicament462;Cond8;CategoryMed5;MarqueMed6
463;Medicament463;Cond11;CategoryMed20;MarqueMed13
464;Medicament464;Cond5;CategoryMed12;MarqueMed5
465;Medicament465;Cond1;CategoryMed34;MarqueMed7
466;Medicament466;Cond6;CategoryMed16;MarqueMed15
467;Medicament467;Cond5;CategoryMed16;MarqueMed18
468;Medicament468;Cond10;CategoryMed46;MarqueMed2
469;Medicament469;Cond10;CategoryMed48;MarqueMed14
470;Medicament470;Cond5;CategoryMed49;MarqueMed5
471;Medicament471;Cond5;CategoryMed13;MarqueMed4
472;Medicament472;Cond5;CategoryMed26;MarqueMed2
473;Medicament473;Cond13;CategoryMed49;MarqueMed17
474;Medicament474;Cond9;CategoryMed3;MarqueMed13
475;Medicament475;Cond7;CategoryMed32;MarqueMed16
476;Medicament476;Cond1;CategoryMed40;MarqueMed13
477;Medicament477;Cond9;CategoryMed11;MarqueMed8
